#,Name,Notes,Player,,Date,Player Video,Difficulty,verifier?
1,Sonic Wave 28-63%,keyboard,nilgd666,,2026-08-01,https://www.tiktok.com/@nilgd666/video/7668922827885645087,demon-extreme,
2,Azurite 72%,keyboard,veinti.28,,2026-08-03,https://www.instagram.com/p/Dbl8GL8pr5W/,demon-extreme,
3,troll level 66%,keyboard,keytoucher1434,,2026-08-05,https://www.instagram.com/p/DbrXk7qRBnO/,demon-extreme,
4,Magma Bound,iPad,GDxPiano,,2026-07-08,https://www.youtube.com/watch?v=nBUdqbTmLwQ,demon-insane,y
5,Windy Landscape,keyboard,xArash7,,2026-07-31,https://www.tiktok.com/@xarash07/video/7668758126811745537,demon-insane,y
6,The Eschaton,iPad,GDxPiano,,2026-07-31,https://www.youtube.com/watch?v=rTRhR2g890g,demon-hard,y
7,Future Funk,iPad,GDxPiano,,2026-03-03,https://www.youtube.com/watch?v=St4KgD8LMr4,demon-hard,y
8,Allegiance 62-96%,keyboard,xArash7,,2026-08-06,https://www.tiktok.com/@xarash07/video/7670983482931154192,demon-extreme,
9,troll level 60-100%,keyboard,keytoucher1434,,2026-08-07,https://www.tiktok.com/@keytoucher1434/video/7671145887791467806?lang=en,demon-extreme,
10,Jawbreaker,iPad,GDxPiano,,2026-04-19,https://www.youtube.com/watch?v=bbRGglZ9MKw,demon-hard,y
11,Megalovania,iPad,GDxPiano,,2026-03-30,https://www.youtube.com/watch?v=oSbIMuiA4iA,demon-hard,y
12,Nine Circles,iPad,GDxPiano,,2026-01-14,https://www.youtube.com/watch?v=GkW_tnkcbUc,demon-hard,y
13,Nine Circles,keyboard,veinti.28,,2026-07-07,https://www.tiktok.com/@veinti.28/video/7659911540283378964,demon-hard,
14,Nine Circles,keyboard,nilgd666,,2026-07-16,https://www.tiktok.com/@nilgd666/video/7662912700044889375,demon-hard,
15,Nine Circles,keyboard;,xArash7,,2026-07-25,https://www.youtube.com/watch?v=r6yBalxQmD8,demon-hard,
16,Allegiance 46%,keyboard,xArash7,,2026-08-06,https://www.tiktok.com/@xarash07/video/7670983482931154192,demon-extreme,
17,Explorers ,iPad,GDxPiano,,2026-03-12,https://www.youtube.com/watch?v=QgdR_ER9ryA,demon-medium,y
18,Ultra Violence,iPad,GDxPiano,,2026-01-26,https://www.youtube.com/watch?v=3huJkycz4C8,demon-medium,y
19,Skeletal Shenanigans ,iPad,GDxPiano,,2025-12-20,https://www.youtube.com/watch?v=Ze_EV-rtzm4,demon-medium,y
20,Skeletal Shenanigans ,keyboard; 2nd coin,veinti.28,,2026-04-13,https://www.tiktok.com/@veinti.28/video/7628008298985426184,demon-medium,
21,Denouement,keyboard,veinti.28,,2026-06-06,https://www.instagram.com/p/DZQvuO0JQWN/,demon-insane,y
22,Sonic Wave 68-83%,"keyboard, ",nilgd666,,2026-06-07,https://www.tiktok.com/@nilgd666/video/7648698272063704351,demon-extreme,
23,Death Moon,iPad,GDxPiano,,2026-03-17,https://www.youtube.com/watch?v=nA5mjESFgy0,demon-easy,y
24,B,iPad,GDxPiano,,2026-04-29,https://www.youtube.com/watch?v=6XlLZ_xZq-U&pp=0gcJCSgLAYcqIYzv,demon-medium,y
25,-Sirius-,iPad,GDxPiano,,2026-02-11,https://www.youtube.com/watch?v=eLxGvb7YUlE,demon-medium,y
26,Sonic Wave 87-100%,"keyboard, ",nilgd666,,2026-06-03,https://www.tiktok.com/@nilgd666/video/7647242902170586399,demon-extreme,
27,Deadlocked,iPad,GDxPiano,,2026-02-27,https://www.youtube.com/watch?v=IlpmP1YiSRE,demon-medium,y
28,Theory of Everything II,iPad,GDxPiano,,2026-02-07,https://www.youtube.com/watch?v=cbll6sTbiXQ,demon-easy,y
